iter	Passed	Remaining
399	44084	66126
400	44210	66040
401	44321	65930
402	44432	65821
403	44543	65713
404	44654	65604
405	44766	65495
406	44875	65383
407	44986	65275
408	45104	65174
409	45211	65059
410	45320	64949
411	45437	64847
412	45545	64734
413	45655	64622
414	45763	64510
415	45876	64404
416	45987	64294
417	46096	64182
418	46208	64074
419	46324	63972
420	46437	63865
421	46552	63761
422	46662	63650
423	46773	63540
424	46887	63435
425	46999	63328
426	47108	63216
427	47220	63108
428	47335	63003
429	47447	62895
430	47560	62789
431	47673	62682
432	47786	62574
433	47896	62463
434	48008	62356
435	48128	62258
436	48239	62148
437	48357	62047
438	48468	61937
439	48581	61831
440	48690	61718
441	48803	61612
442	48916	61504
443	49028	61396
444	49137	61284
445	49248	61174
446	49362	61067
447	49475	60960
448	49586	60851
449	49700	60744
450	49813	60637
451	49923	60526
452	50034	60417
453	50147	60308
454	50261	60203
455	50373	60094
456	50483	59984
457	50597	59877
458	50708	59767
459	50819	59657
460	50932	59550
461	51045	59442
462	51159	59336
463	51275	59231
464	51388	59124
465	51500	59016
466	51612	58906
467	51724	58798
468	51836	58689
469	51947	58579
470	52058	58468
471	52169	58359
472	52283	58252
473	52401	58149
474	52513	58041
475	52624	57931
476	52735	57821
477	52848	57713
478	52961	57605
479	53073	57496
480	53185	57387
481	53297	57277
482	53408	57168
483	53521	57060
484	53632	56949
485	53744	56840
486	53853	56728
487	53966	56620
488	54083	56517
489	54197	56409
490	54312	56303
491	54427	56197
492	54540	56089
493	54652	55980
494	54763	55870
495	54875	55760
496	54989	55653
497	55101	55544
498	55218	55439
499	55330	55330
500	55443	55221
501	55554	55111
502	55670	55006
503	55782	54897
504	55899	54792
505	56010	54682
506	56124	54574
507	56237	54466
508	56352	54359
509	56466	54252
510	56580	54144
511	56693	54036
512	56810	53931
513	56921	53821
514	57037	53714
515	57150	53605
516	57266	53500
517	57380	53392
518	57492	53283
519	57607	53176
520	57722	53068
521	57832	52958
522	57948	52852
523	58069	52750
524	58183	52642
525	58296	52533
526	58421	52435
527	58550	52340
528	58676	52243
529	58796	52140
530	58913	52034
531	59033	51931
532	59147	51823
533	59264	51717
534	59378	51609
535	59491	51499
536	59606	51392
537	59720	51284
538	59832	51173
539	59945	51065
540	60063	50959
541	60179	50853
542	60290	50742
543	60405	50634
544	60525	50530
545	60637	50419
546	60753	50313
547	60870	50207
548	60982	50096
549	61098	49989
550	61212	49880
551	61329	49774
552	61445	49667
553	61566	49564
554	61678	49453
555	61793	49345
556	61906	49236
557	62019	49126
558	62136	49020
559	62250	48911
560	62365	48802
561	62481	48695
562	62594	48585
563	62706	48475
564	62823	48368
565	62938	48260
566	63051	48150
567	63169	48044
568	63288	47939
569	63403	47830
570	63518	47722
571	63632	47613
572	63747	47504
573	63862	47396
574	63977	47287
575	64096	47182
576	64211	47073
577	64331	46968
578	64444	46858
579	64561	46751
580	64675	46641
581	64794	46536
582	64909	46427
583	65025	46319
584	65139	46210
585	65253	46100
586	65374	45995
587	65488	45886
588	65606	45779
589	65724	45672
590	65838	45563
591	65954	45455
592	66071	45347
593	66190	45241
594	66306	45132
595	66419	45022
596	66534	44913
597	66651	44806
598	66770	44699
599	66890	44593
600	67005	44484
601	67120	44375
602	67234	44265
603	67349	44156
604	67463	44046
605	67579	43937
606	67703	43834
607	67818	43724
608	67934	43616
609	68046	43505
610	68166	43398
611	68285	43291
612	68403	43184
613	68518	43075
614	68634	42966
615	68747	42855
616	68863	42746
617	68976	42635
618	69091	42526
619	69207	42417
620	69321	42307
621	69434	42196
622	69551	42088
623	69667	41978
624	69780	41868
625	69894	41758
626	70009	41648
627	70128	41541
628	70243	41431
629	70356	41320
630	70473	41211
631	70588	41102
632	70705	40993
633	70822	40884
634	70939	40776
635	71055	40667
636	71170	40556
637	71286	40447
638	71401	40337
639	71515	40227
640	71634	40119
641	71749	40010
642	71864	39899
643	71977	39788
644	72094	39679
645	72210	39570
646	72325	39460
647	72440	39350
648	72555	39240
649	72669	39129
650	72786	39020
651	72901	38910
652	73018	38801
653	73136	38692
654	73251	38582
655	73368	38473
656	73488	38366
657	73604	38256
658	73719	38146
659	73832	38034
660	73950	37926
661	74068	37817
662	74185	37708
663	74301	37598
664	74418	37488
665	74534	37379
666	74653	37270
667	74774	37163
668	74889	37052
669	75002	36941
670	75119	36831
671	75234	36721
672	75365	36618
673	75481	36508
674	75600	36400
675	75716	36290
676	75832	36180
677	75949	36070
678	76066	35960
679	76183	35851
680	76301	35741
681	76419	35632
682	76537	35523
683	76656	35414
684	76774	35305
685	76895	35197
686	77018	35089
687	77134	34979
688	77248	34868
689	77364	34757
690	77481	34648
691	77598	34537
692	77720	34430
693	77840	34321
694	77959	34212
695	78077	34102
696	78198	33994
697	78316	33884
698	78436	33775
699	78553	33665
700	78674	33557
701	78790	33446
702	78920	33342
703	79052	33237
704	79169	33127
705	79289	33018
706	79403	32907
707	79522	32797
708	79644	32689
709	79760	32578
710	79878	32468
711	79993	32356
712	80112	32247
713	80231	32137
714	80355	32029
715	80471	31918
716	80587	31808
717	80704	31697
718	80825	31588
719	80942	31477
720	81060	31367
721	81175	31256
722	81296	31146
723	81415	31036
724	81532	30926
725	81657	30818
726	81775	30707
727	81891	30596
728	82013	30487
729	82130	30376
730	82245	30265
731	82364	30155
732	82481	30044
733	82597	29933
734	82716	29822
735	82834	29712
736	82952	29601
737	83073	29492
738	83189	29380
739	83306	29269
740	83425	29159
741	83542	29048
742	83660	28937
743	83776	28826
744	83895	28715
745	84012	28604
746	84131	28494
747	84251	28384
748	84370	28273
749	84490	28163
750	84610	28053
751	84728	27942
752	84848	27832
753	84969	27722
754	85089	27611
755	85207	27500
756	85328	27390
757	85445	27279
758	85567	27169
759	85687	27059
760	85806	26948
761	85925	26837
762	86042	26726
763	86163	26615
764	86283	26505
765	86399	26393
766	86517	26282
767	86637	26171
768	86754	26060
769	86876	25950
770	86996	25839
771	87116	25728
772	87238	25618
773	87356	25507
774	87475	25396
775	87595	25285
776	87720	25175
777	87838	25064
778	87960	24954
779	88083	24844
780	88204	24733
781	88324	24622
782	88444	24511
783	88563	24400
784	88683	24288
785	88803	24178
786	88925	24067
787	89043	23955
788	89164	23844
789	89283	23733
790	89403	23622
791	89521	23510
792	89640	23399
793	89762	23288
794	89882	23177
795	90005	23066
796	90122	22954
797	90241	22842
798	90360	22731
799	90480	22620
800	90600	22508
801	90721	22397
802	90839	22285
803	90957	22173
804	91079	22062
805	91197	21950
806	91314	21838
807	91434	21727
808	91552	21614
809	91672	21503
810	91795	21392
811	91914	21280
812	92032	21168
813	92153	21057
814	92273	20945
815	92395	20834
816	92518	20723
817	92637	20611
818	92762	20500
819	92881	20388
820	93000	20276
821	93117	20164
822	93236	20051
823	93359	19940
824	93482	19829
825	93602	19717
826	93721	19605
827	93839	19493
828	93955	19380
829	94080	19269
830	94196	19156
831	94311	19043
832	94431	18931
833	94554	18820
834	94677	18708
835	94798	18596
836	94917	18484
837	95037	18372
838	95159	18260
839	95280	18148
840	95402	18036
841	95524	17924
842	95641	17812
843	95762	17700
844	95880	17587
845	96000	17475
846	96120	17362
847	96242	17251
848	96367	17139
849	96490	17027
850	96610	16915
851	96732	16803
852	96851	16690
853	96972	16578
854	97091	16465
855	97212	16353
856	97331	16240
857	97453	16128
858	97571	16015
859	97693	15903
860	97815	15791
861	97934	15678
862	98054	15566
863	98179	15454
864	98298	15341
865	98425	15229
866	98543	15116
867	98665	15004
868	98787	14892
869	98911	14779
870	99035	14667
871	99160	14555
872	99281	14442
873	99399	14329
874	99522	14217
875	99643	14104
876	99765	13992
877	99888	13879
878	100011	13767
879	100134	13654
880	100255	13541
881	100381	13429
882	100507	13317
883	100626	13204
884	100748	13091
885	100872	12979
886	100994	12866
887	101120	12753
888	101238	12640
889	101359	12527
890	101476	12414
891	101600	12301
892	101720	12188
893	101843	12075
894	101963	11962
895	102085	11849
896	102211	11736
897	102330	11623
898	102450	11509
899	102571	11396
900	102694	11283
901	102816	11170
902	102936	11057
903	103056	10944
904	103175	10830
905	103294	10717
906	103413	10603
907	103531	10489
908	103658	10377
909	103777	10263
910	103897	10150
911	104020	10037
912	104138	9923
913	104261	9810
914	104378	9696
915	104495	9582
916	104615	9469
917	104737	9355
918	104860	9242
919	104980	9128
920	105099	9015
921	105220	8901
922	105340	8787
923	105461	8674
924	105581	8560
925	105705	8447
926	105827	8333
927	105949	8220
928	106066	8106
929	106204	7993
930	106329	7880
931	106447	7766
932	106566	7652
933	106691	7539
934	106813	7425
935	106931	7311
936	107051	7197
937	107175	7084
938	107299	6970
939	107421	6856
940	107547	6743
941	107670	6629
942	107788	6515
943	107913	6401
944	108038	6287
945	108161	6174
946	108280	6060
947	108400	5945
948	108519	5831
949	108643	5718
950	108764	5604
951	108883	5489
952	109004	5375
953	109132	5262
954	109253	5148
955	109376	5034
956	109496	4919
957	109615	4805
958	109740	4691
959	109861	4577
960	109984	4463
961	110105	4349
962	110226	4235
963	110348	4120
964	110466	4006
965	110588	3892
966	110711	3778
967	110831	3663
968	110953	3549
969	111071	3435
970	111189	3320
971	111311	3206
972	111433	3092
973	111557	2977
974	111676	2863
975	111794	2749
976	111918	2634
977	112045	2520
978	112171	2406
979	112289	2291
980	112412	2177
981	112530	2062
982	112649	1948
983	112769	1833
984	112890	1719
985	113008	1604
986	113131	1490
987	113251	1375
988	113373	1260
989	113492	1146
990	113613	1031
991	113734	917
992	113859	802
993	113982	688
994	114106	573
995	114226	458
996	114346	344
997	114469	229
998	114590	114
999	114712	0
